dataset_size,overlap,alice_hash,alice_blind,alice_double_blind,alice_send,alice_recv,alice_intersection,alice_total,bob_hash,bob_blind,bob_double_blind,bob_send,bob_recv,bob_intersection,bob_total
100,25,1.084599,2.844249,2.826831,0.541619,37.781948,0.022725,48.912106,8.850970,12.926540,11.781073,3.101128,0.025416,4.969378,42.509197
100,25,1.279378,9.310895,2.790799,0.888306,23.978653,0.022830,82.776883,6.319145,11.251197,14.239652,3.061148,0.014838,44.459840,80.536129
100,25,1.109834,2.744746,2.862517,0.195063,41.214314,0.022436,51.009975,7.454855,15.920715,13.438867,2.766483,0.014535,5.175925,45.075812
100,25,1.104225,2.879384,2.750345,0.488905,15.813658,0.022782,67.829516,3.563659,8.102898,4.901936,3.125952,0.015810,44.618156,66.112410
100,25,1.392744,5.186567,5.221866,0.293262,36.691147,0.023089,53.418765,4.324849,14.754337,19.253754,4.493015,0.020344,6.399878,50.542757
100,25,1.151248,4.192996,2.797165,0.363678,35.897798,0.022022,52.790636,5.064531,18.948632,13.997685,2.770061,0.021696,7.854254,49.717055
100,25,1.917956,4.428858,3.123543,0.462843,38.280403,0.023184,56.767702,4.207412,20.170815,15.359374,2.906555,0.021308,10.062872,54.396581
100,25,2.426299,3.775083,4.408534,0.579181,29.067801,0.023398,83.586340,2.762143,13.303499,15.986207,2.772210,0.031845,46.186551,81.945338
100,25,1.306002,3.143406,2.875310,3.824670,29.976837,0.022778,86.963636,5.745184,17.312101,11.156979,3.980213,0.016641,45.400839,83.682871
100,25,1.598582,8.189287,3.217328,0.408649,33.968121,0.022597,93.750569,8.200878,15.403491,11.993415,6.511023,0.019485,48.120082,91.009889
100,25,1.449999,7.602694,3.694831,1.062591,40.866763,0.022227,57.626023,3.546129,26.772456,16.873538,1.637900,0.026099,5.963787,55.157066
100,25,2.040993,7.181309,7.859466,0.513803,28.815839,0.023016,91.181181,3.436512,9.894764,18.447430,3.766400,0.023199,52.787232,88.673506
100,25,1.125649,2.843084,3.133347,0.286068,39.153478,0.023001,91.329125,3.966938,17.391812,15.709319,3.568941,0.024675,48.070424,88.803042
100,25,2.201434,4.210965,5.882452,0.373343,39.653662,0.074694,96.796654,3.817895,21.212947,14.057214,4.093327,0.025225,50.154828,93.432370
